Name,PD
-t7_30,"V[0,1,2],V[3,4,2],X[5,6,7,8],X[9,7,0,10],X[11,12,13,4],X[10,13,12,9],X[14,1,6,5],X[8,15,16,14],X[3,16,15,11]"
+t7_32,"V[0,1,2],V[3,4,1],X[4,5,6,7],X[8,2,7,6],X[9,10,11,12],X[10,9,13,14],X[5,15,16,13],X[0,8,12,11],X[15,3,14,16]"
-t7_32,"V[0,1,2],V[3,4,1],X[5,4,6,7],X[7,8,2,5],X[9,10,11,12],X[13,11,10,14],X[14,6,15,16],X[12,0,8,9],X[16,15,3,13]"
-t7_33,"V[0,1,2],V[3,0,4],X[2,5,6,7],X[7,6,8,9],X[9,8,10,11],X[11,10,12,4],X[3,13,14,1],X[15,12,5,16],X[16,14,13,15]"
+t7_33,"V[0,1,2],V[3,0,4],X[5,6,7,2],X[6,8,9,7],X[8,10,11,9],X[10,12,4,11],X[13,14,1,3],X[12,5,15,16],X[14,13,16,15]"
-t7_35,"V[0,1,2],V[3,0,4],X[5,1,6,7],X[7,8,9,10],X[10,4,11,12],X[12,11,13,14],X[14,13,2,5],X[15,9,8,16],X[16,6,3,15]"
+t7_35,"V[0,1,2],V[3,0,4],X[1,5,6,7],X[8,9,10,6],X[4,11,12,10],X[11,13,14,12],X[13,2,7,14],X[9,8,15,16],X[5,3,16,15]"
-t7_36,"V[0,1,2],V[3,4,1],X[2,5,6,7],X[7,6,8,9],X[9,8,10,11],X[11,10,12,13],X[13,14,15,0],X[16,12,5,4],X[14,16,3,15]"
+t7_36,"V[0,1,2],V[3,4,1],X[5,6,7,2],X[6,8,9,7],X[8,10,11,9],X[10,12,13,11],X[0,13,14,15],X[12,5,4,16],X[15,14,16,3]"
-t7_37,"V[0,1,2],V[3,0,4],X[5,4,6,7],X[7,6,2,8],X[8,1,9,10],X[10,9,11,12],X[12,13,14,5],X[15,14,13,16],X[16,11,3,15]"
+t7_37,"V[0,1,2],V[3,0,4],X[4,5,6,7],X[5,2,8,6],X[1,9,10,8],X[9,11,12,10],X[13,14,7,12],X[14,13,15,16],X[11,3,16,15]"
-t7_38,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[9,10,11,6],X[12,11,10,1],X[13,4,7,12],X[8,3,14,2],X[15,14,5,16],X[0,17,18,13],X[16,18,17,15]"
+t7_38,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[10,11,9,8],X[11,10,1,12],X[4,6,12,13],X[3,14,2,7],X[14,5,15,16],X[17,18,13,0],X[18,17,16,15]"
-t7_40,"V[0,1,2],V[3,4,2],X[5,1,6,7],X[7,8,9,10],X[10,11,12,5],X[13,14,8,15],X[15,6,0,13],X[3,12,11,16],X[16,9,14,4]"
+t7_40,"V[0,1,2],V[3,4,2],X[1,5,6,7],X[8,9,10,6],X[11,12,7,10],X[13,8,14,15],X[5,0,15,14],X[12,11,16,3],X[9,13,4,16]"
-t7_41,"V[0,1,2],V[3,2,4],X[5,1,6,7],X[8,9,10,11],X[11,6,0,8],X[7,10,12,13],X[13,14,4,5],X[15,3,14,16],X[16,12,9,15]"
+t7_41,"V[0,1,2],V[3,2,4],X[1,5,6,7],X[8,9,10,11],X[5,0,11,10],X[9,12,13,6],X[14,4,7,13],X[3,14,15,16],X[12,8,16,15]"
-t7_42,"V[0,1,2],V[3,4,0],X[5,6,7,2],X[1,8,9,10],X[11,9,12,13],X[10,14,15,5],X[13,15,14,11],X[16,12,8,4],X[6,16,3,7]"
+t7_42,"V[0,1,2],V[3,4,0],X[2,5,6,7],X[8,9,10,1],X[9,11,12,13],X[14,15,5,10],X[15,14,13,12],X[11,8,4,16],X[7,6,16,3]"
+t7_43,"V[0,1,2],V[2,3,4],X[1,5,6,3],X[5,7,8,6],X[9,10,11,12],X[10,13,14,11],X[13,15,0,14],X[16,17,12,4],X[15,9,17,18],X[7,18,16,8]"
-t7_43,"V[0,1,2],V[2,3,4],X[3,1,5,6],X[6,5,7,8],X[9,10,11,12],X[12,11,13,14],X[14,13,15,0],X[16,9,4,17],X[18,15,10,16],X[8,7,18,17]"
+t7_44,"V[0,1,2],V[2,3,4],X[5,6,7,4],X[6,8,9,7],X[10,11,12,9],X[11,13,0,12],X[13,14,3,1],X[8,5,15,16],X[14,10,16,15]"
-t7_44,"V[0,1,2],V[2,3,4],X[4,5,6,7],X[7,6,8,9],X[9,10,11,12],X[12,11,13,0],X[1,13,14,3],X[15,8,5,16],X[16,14,10,15]"
+t7_45,"V[0,1,2],V[3,4,0],X[5,6,7,8],X[6,9,10,7],X[9,3,11,10],X[12,2,13,14],X[11,12,14,15],X[1,4,16,17],X[17,18,15,13],X[16,5,8,18]"
-t7_45,"V[0,1,2],V[3,4,0],X[5,6,7,8],X[8,7,9,10],X[10,9,3,11],X[12,13,2,14],X[15,11,13,12],X[4,16,17,1],X[14,17,18,15],X[18,16,6,5]"
+t7_46,"V[0,1,2],V[1,3,4],X[5,6,7,8],X[6,9,10,7],X[9,11,0,10],X[2,12,13,14],X[12,4,15,13],X[3,11,16,17],X[17,18,14,15],X[16,5,8,18]"
-t7_46,"V[0,1,2],V[1,3,4],X[5,6,7,8],X[8,7,9,10],X[10,9,11,0],X[12,2,13,14],X[14,13,4,15],X[11,16,17,3],X[15,17,18,12],X[18,16,6,5]"
+t7_48,"V[0,1,2],V[3,4,5],X[6,4,7,8],X[9,10,11,12],X[13,6,14,15],X[16,1,17,11],X[18,19,15,14],X[2,16,20,19],X[0,18,8,17],X[10,5,13,20],X[3,9,12,7]"
