2 - 44 - X - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[19, 17, 16, 15] - t**(-2) + t**(-4) - 1/t**5 + t**(-6) - 1/t**7 - A**(-8) + A**(-16) - 1/A**20 + A**(-24) - 1/A**28
2 - 45 - 1 - X[3, 4, 5, 6], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[19, 17, 16, 15] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 46 - 2 - X[4, 5, 6, 3], X[7, 8, 9, 3], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 47 - 0 - X[4, 5, 6, 3], X[7, 8, 9, 3], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 48 - 0 - X[4, 5, 6, 3], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 49 - 0 - X[4, 5, 6, 3], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 50 - 0 - X[4, 5, 6, 3], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 51 - 0 - X[4, 5, 6, 3], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 52 - 1 - X[4, 5, 6, 3], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 53 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[10, 11, 12, 4], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 54 - X - X[4, 5, 6, 3], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**7 + t**6 - t**5 + t**4 + t**2 - -A**28 + A**24 - A**20 + A**16 + A**8
2 - 55 - 2 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 56 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 57 - X - X[4, 5, 6, 3], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - -t**6 + t**5 - t**4 + 2*t**3 - t**2 + t - -A**24 + A**20 - A**16 + 2*A**12 - A**8 + A**4
2 - 58 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1 - 1
2 - 59 - 2 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 60 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 61 - 1 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 62 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 63 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1 - 1
2 - 64 - X - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - -t**6 + t**5 - t**4 + 2*t**3 - t**2 + t - -A**24 + A**20 - A**16 + 2*A**12 - A**8 + A**4
2 - 65 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 66 - 2 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 67 - 0 - X[4, 5, 6, 3], X[3, 7, 8, 9], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1 - 1
