Name,PD Notation,Alexander,Jones,Conway,Kauffman,HOMFLY
8_7,[[2;9;3;10];[4;14;5;13];[6;15;7;16];[8;1;9;2];[10;5;11;6];[12;4;13;3];[14;12;15;11];[16;7;1;8]],1-3*t+5*t^2-5*t^3+5*t^4-3*t^5+t^6,-t^(-6)+ 2*t^(-5)-3*t^(-4)+ 4*t^(-3)-4*t^(-2)+ 4*t^(-1)-2+ 2*t-t^2,1+2*z^2+3*z^4+z^6,(-1-4*a^2-2*a^4)*z^(0)+(a^(-1)+2*a+2*a^3-a^7)*z^(1)+(6+12*a^2+4*a^4-2*a^6)*z^(2)+(-3*a^(-1)-3*a-2*a^3-a^5+a^7)*z^(3)+(-7-12*a^2-3*a^4+2*a^6)*z^(4)+(a^(-1)-a+2*a^5)*z^(5)+(2+4*a^2+2*a^4)*z^(6)+(a+a^3)*z^(7),(-2*v^(-4)+4*v^(-2)-1)+(-3*v^(-4)+8*v^(-2)-3)*z^2+(-v^(-4)+5*v^(-2)-1)*z^4+(v^(-2))*z^6
8_8,[[1;7;2;6];[3;12;4;13];[5;9;6;8];[7;3;8;2];[9;16;10;1];[11;14;12;15];[13;4;14;5];[15;10;16;11]],2-6*t+9*t^2-6*t^3+2*t^4,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 4*t^(-2)-4*t^(-1)+ 5-3*t+ 2*t^2-t^3,1+2*z^2+2*z^4,(a^(-2)+2-a^2-a^4)*z^(0)+(-a^(-3)-a^(-1)+a+3*a^3+2*a^5)*z^(1)+(-2*a^(-2)-1+5*a^2+4*a^4)*z^(2)+(a^(-3)-3*a-5*a^3-3*a^5)*z^(3)+(2*a^(-2)-1-9*a^2-6*a^4)*z^(4)+(2*a^(-1)+a+a^5)*z^(5)+(2+4*a^2+2*a^4)*z^(6)+(a+a^3)*z^(7),(-v^(-4)+v^(-2)+2-v^2)+(-v^(-4)+2*v^(-2)+2-v^2)*z^2+(v^(-2)+1)*z^4
8_9,[[6;2;7;1];[14;8;15;7];[10;3;11;4];[2;13;3;14];[12;5;13;6];[4;11;5;12];[16;10;1;9];[8;16;9;15]],1-3*t+5*t^2-7*t^3+5*t^4-3*t^5+t^6,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 5-4*t+ 3*t^2-2*t^3+ t^4,1-2*z^2-3*z^4-z^6,(-2*a^(-2)-3-2*a^2)*z^(0)+(a^(-3)+a^(-1)+a+a^3)*z^(1)+(-2*a^(-4)+4*a^(-2)+12+4*a^2-2*a^4)*z^(2)+(-4*a^(-3)-a^(-1)-a-4*a^3)*z^(3)+(a^(-4)-4*a^(-2)-10-4*a^2+a^4)*z^(4)+(2*a^(-3)+2*a^3)*z^(5)+(2*a^(-2)+4+2*a^2)*z^(6)+(a^(-1)+a)*z^(7),(2*v^(-2)-3+2*v^2)+(3*v^(-2)-8+3*v^2)*z^2+(v^(-2)-5+v^2)*z^4-z^6
8_10,[[2;14;3;13];[4;9;5;10];[6;11;7;12];[8;15;9;16];[10;5;11;6];[12;2;13;1];[14;7;15;8];[16;4;1;3]],1-3*t+6*t^2-7*t^3+6*t^4-3*t^5+t^6,-t^(-6)+ 2*t^(-5)-4*t^(-4)+ 5*t^(-3)-4*t^(-2)+ 5*t^(-1)-3+ 2*t-t^2,1+3*z^2+3*z^4+z^6,(-2-6*a^2-3*a^4)*z^(0)+(2*a^(-1)+5*a+6*a^3+2*a^5-a^7)*z^(1)+(5+12*a^2+6*a^4-a^6)*z^(2)+(-3*a^(-1)-8*a-9*a^3-3*a^5+a^7)*z^(3)+(-6-13*a^2-5*a^4+2*a^6)*z^(4)+(a^(-1)+a+3*a^3+3*a^5)*z^(5)+(2+5*a^2+3*a^4)*z^(6)+(a+a^3)*z^(7),(-3*v^(-4)+6*v^(-2)-2)+(-3*v^(-4)+9*v^(-2)-3)*z^2+(-v^(-4)+5*v^(-2)-1)*z^4+(v^(-2))*z^6
8_11,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;7;14;6];[15;5;16;4]],2-7*t+9*t^2-7*t^3+2*t^4,t^(-1)-2+ 4*t-4*t^2+ 5*t^3-5*t^4+ 3*t^5-2*t^6+ t^7,1-z^2-2*z^4,(-a^(-6)-2*a^(-4)-a^(-2)+1)*z^(0)+(2*a^(-7)+3*a^(-5)+a^(-3))*z^(1)+(-2*a^(-8)+2*a^(-6)+6*a^(-4)-2)*z^(2)+(-4*a^(-7)-3*a^(-5)-2*a^(-3)-3*a^(-1))*z^(3)+(a^(-8)-3*a^(-6)-7*a^(-4)-2*a^(-2)+1)*z^(4)+(2*a^(-7)+a^(-5)+a^(-3)+2*a^(-1))*z^(5)+(2*a^(-6)+4*a^(-4)+2*a^(-2))*z^(6)+(a^(-5)+a^(-3))*z^(7),(1+v^2-2*v^4+v^6)+(1-v^2-2*v^4+v^6)*z^2+(-v^2-v^4)*z^4
8_12,[[4;2;5;1];[10;8;11;7];[8;3;9;4];[2;9;3;10];[14;6;15;5];[16;11;1;12];[12;15;13;16];[6;14;7;13]],1-7*t+13*t^2-7*t^3+t^4,t^(-4)-2*t^(-3)+ 4*t^(-2)-5*t^(-1)+ 5-5*t+ 4*t^2-2*t^3+ t^4,1-3*z^2+z^4,(a^(-4)+a^(-2)+1+a^2+a^4)*z^(0)+(a^(-3)+a^3)*z^(1)+(-2*a^(-4)-2*a^(-2)-2*a^2-2*a^4)*z^(2)+(-3*a^(-3)-3*a^(-1)-3*a-3*a^3)*z^(3)+(a^(-4)-a^(-2)-4-a^2+a^4)*z^(4)+(2*a^(-3)+2*a^(-1)+2*a+2*a^3)*z^(5)+(2*a^(-2)+4+2*a^2)*z^(6)+(a^(-1)+a)*z^(7),(v^(-4)-v^(-2)+1-v^2+v^4)+(-2*v^(-2)+1-2*v^2)*z^2+z^4
8_13,[[1;9;2;8];[3;14;4;15];[5;12;6;13];[7;11;8;10];[9;3;10;2];[11;16;12;1];[13;4;14;5];[15;6;16;7]],2-7*t+11*t^2-7*t^3+2*t^4,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 5*t^(-2)-5*t^(-1)+ 5-4*t+ 3*t^2-t^3,1+z^2+2*z^4,(-2*a^2-a^4)*z^(0)+(a^(-1)+3*a+4*a^3+2*a^5)*z^(1)+(-2*a^(-2)+7*a^2+5*a^4)*z^(2)+(a^(-3)-4*a^(-1)-9*a-7*a^3-3*a^5)*z^(3)+(3*a^(-2)-2-11*a^2-6*a^4)*z^(4)+(4*a^(-1)+4*a+a^3+a^5)*z^(5)+(3+5*a^2+2*a^4)*z^(6)+(a+a^3)*z^(7),(-v^(-4)+2*v^(-2))+(-v^(-4)+2*v^(-2)+1-v^2)*z^2+(v^(-2)+1)*z^4
8_14,[[2;12;3;11];[4;8;5;7];[6;15;7;16];[8;14;9;13];[10;2;11;1];[12;10;13;9];[14;4;15;3];[16;5;1;6]],2-8*t+11*t^2-8*t^3+2*t^4,t^(-1)-2+ 4*t-5*t^2+ 6*t^3-5*t^4+ 4*t^5-3*t^6+ t^7,1-2*z^4,(1)*z^(0)+(a^(-7)+3*a^(-5)+3*a^(-3)+a^(-1))*z^(1)+(-a^(-8)+a^(-6)+3*a^(-4)-a^(-2)-2)*z^(2)+(-5*a^(-7)-8*a^(-5)-6*a^(-3)-3*a^(-1))*z^(3)+(a^(-8)-4*a^(-6)-7*a^(-4)-a^(-2)+1)*z^(4)+(3*a^(-7)+4*a^(-5)+3*a^(-3)+2*a^(-1))*z^(5)+(3*a^(-6)+5*a^(-4)+2*a^(-2))*z^(6)+(a^(-5)+a^(-3))*z^(7),1+(1-v^2-v^4+v^6)*z^2+(-v^2-v^4)*z^4
8_15,[[1;7;2;6];[3;15;4;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[13;5;14;4];[15;11;16;10]],3-8*t+11*t^2-8*t^3+3*t^4,t^2-2*t^3+ 5*t^4-5*t^5+ 6*t^6-6*t^7+ 4*t^8-3*t^9+ t^10,1+4*z^2+3*z^4,(-a^(-10)-4*a^(-8)-3*a^(-6)+a^(-4))*z^(0)+(2*a^(-11)+8*a^(-9)+6*a^(-7))*z^(1)+(-a^(-12)+8*a^(-8)+5*a^(-6)-2*a^(-4))*z^(2)+(-5*a^(-11)-14*a^(-9)-11*a^(-7)-2*a^(-5))*z^(3)+(a^(-12)-3*a^(-10)-10*a^(-8)-5*a^(-6)+a^(-4))*z^(4)+(3*a^(-11)+6*a^(-9)+5*a^(-7)+2*a^(-5))*z^(5)+(3*a^(-10)+6*a^(-8)+3*a^(-6))*z^(6)+(a^(-9)+a^(-7))*z^(7),(v^4+3*v^6-4*v^8+v^10)+(2*v^4+5*v^6-3*v^8)*z^2+(v^4+2*v^6)*z^4
8_16,[[2;7;3;8];[4;10;5;9];[6;1;7;2];[8;14;9;13];[10;15;11;16];[12;6;13;5];[14;3;15;4];[16;11;1;12]],1-4*t+8*t^2-9*t^3+8*t^4-4*t^5+t^6,-t^(-6)+ 3*t^(-5)-5*t^(-4)+ 6*t^(-3)-6*t^(-2)+ 6*t^(-1)-4+ 3*t-t^2,1+z^2+2*z^4+z^6,(-2*a^2-a^4)*z^(0)+(a^(-1)+3*a+4*a^3+2*a^5)*z^(1)+(5+10*a^2+4*a^4-a^6)*z^(2)+(-2*a^(-1)-6*a-10*a^3-5*a^5+a^7)*z^(3)+(-8-18*a^2-7*a^4+3*a^6)*z^(4)+(a^(-1)-a+3*a^3+5*a^5)*z^(5)+(3+8*a^2+5*a^4)*z^(6)+(2*a+2*a^3)*z^(7),(-v^(-4)+2*v^(-2))+(-2*v^(-4)+5*v^(-2)-2)*z^2+(-v^(-4)+4*v^(-2)-1)*z^4+(v^(-2))*z^6
