name,native notation,symmetry
10_35,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 f3 a2) d=X(b1 g0 h3 b2) e=X(c1 h2 f1 f0) f=X(e3 e2 g1 c2) g=X(d1 f2 i3 j0) h=X(j3 i0 e1 d2) i=X(h1 j2 j1 g2) j=X(g3 i2 i1 h0) ['name'='10_35'],reversible
10_36,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 h0 b1 b0) e=X(h3 f2 f1 c0) f=X(c1 e2 e1 i0) g=X(i3 j0 h1 d0) h=X(d1 g2 j3 e0) i=X(f3 j2 j1 g0) j=X(g1 i2 i1 h2) ['name'='10_36'],reversible
10_37,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 f0 g3 a2) d=X(b1 g2 e1 e0) e=X(d3 d2 f1 b2) f=X(c1 e2 h3 h2) g=X(i3 j0 d1 c2) h=X(j3 i0 f3 f2) i=X(h1 j2 j1 g0) j=X(g1 i2 i1 h0) ['name'='10_37'],fully amphicheiral
10_38,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(f3 g0 a3 a2) d=X(g3 e2 e1 b0) e=X(b1 d2 d1 h0) f=X(i3 j0 g1 c0) g=X(c1 f2 h1 d0) h=X(e3 g2 j3 i0) i=X(h3 j2 j1 f0) j=X(f1 i2 i1 h2) ['name'='10_38'],reversible
10_39,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 f0 g3 a2) d=X(b1 g2 h3 e0) e=X(d3 h2 h1 b2) f=X(c1 i0 i3 j0) g=X(j3 j2 d1 c2) h=X(i1 e2 e1 d2) i=X(f1 h0 j1 f2) j=X(f3 i2 g1 g0) ['name'='10_39'],reversible
10_40,a=X(b3 b2 c3 d0) b=X(e3 c0 a1 a0) c=X(b1 f0 f3 a2) d=X(a3 f2 g3 g2) e=X(h3 i0 i3 b0) f=X(c1 j0 d1 c2) g=X(j3 h0 d3 d2) h=X(g1 j2 i1 e0) i=X(e1 h2 j1 e2) j=X(f1 i2 h1 g0) ['name'='10_40'],reversible
10_41,a=X(b3 b2 c3 d0) b=X(e3 c0 a1 a0) c=X(b1 f0 f3 a2) d=X(a3 f2 g3 e0) e=X(d3 h0 i3 b0) f=X(c1 g0 d1 c2) g=X(f1 j0 h1 d2) h=X(e1 g2 j3 i0) i=X(h3 j2 j1 e2) j=X(g1 i2 i1 h2) ['name'='10_41'],reversible
10_42,a=X(b3 b2 c3 d0) b=X(e3 f0 a1 a0) c=X(g3 d2 d1 a2) d=X(a3 c2 c1 e0) e=X(d3 g2 h3 b0) f=X(b1 i0 j3 g0) g=X(f3 j2 e1 c0) h=X(j1 i2 i1 e2) i=X(f1 h2 h1 j0) j=X(i3 h0 g1 f2) ['name'='10_42'],reversible
10_43,a=X(b3 b2 c3 d0) b=X(d3 e0 a1 a0) c=X(f3 f2 d1 a2) d=X(a3 c2 g3 b0) e=X(b1 h0 i3 j0) f=X(j3 g0 c1 c0) g=X(f1 h2 h1 d2) h=X(e1 g2 g1 i0) i=X(h3 j2 j1 e2) j=X(e3 i2 i1 f0) ['name'='10_43'],fully amphicheiral
10_44,a=X(b3 c0 c3 d0) b=X(d3 e0 c1 a0) c=X(a1 b2 e3 a2) d=X(a3 f0 g3 b0) e=X(b1 h0 f1 c2) f=X(d1 e2 i3 g0) g=X(f3 i2 j3 d2) h=X(e1 j2 j1 i0) i=X(h3 j0 g1 f2) j=X(i1 h2 h1 g2) ['name'='10_44'],reversible
10_45,a=X(b3 b2 c3 d0) b=X(d3 e0 a1 a0) c=X(f3 g0 d1 a2) d=X(a3 c2 g3 b0) e=X(b1 h0 h3 i0) f=X(i3 j0 g1 c0) g=X(c1 f2 j3 d2) h=X(e1 j2 i1 e2) i=X(e3 h2 j1 f0) j=X(f1 i2 h1 g2) ['name'='10_45'],fully amphicheiral
10_46,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 e3 a2) d=X(b1 f0 g3 b2) e=X(c1 h0 i3 c2) f=X(d1 i2 i1 g0) g=X(f3 j0 j3 d2) h=X(e1 j2 j1 i0) i=X(h3 f2 f1 e2) j=X(g1 h2 h1 g2) ['name'='10_46'],reversible
10_47,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 e2 a3 a2) d=X(f3 g0 b1 b0) e=X(h3 i0 c1 c0) f=X(i3 i2 j3 d0) g=X(d1 j2 j1 h0) h=X(g3 j0 i1 e0) i=X(e1 h2 f1 f0) j=X(h1 g2 g1 f2) ['name'='10_47'],reversible
10_48,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 f0 a3 a2) d=X(f3 g0 b1 b0) e=X(g3 h0 h3 c0) f=X(c1 h2 i3 d0) g=X(d1 j0 j3 e0) h=X(e1 i0 f1 e2) i=X(h1 j2 j1 f2) j=X(g1 i2 i1 g2) ['name'='10_48'],reversible
10_49,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 f3 a2) d=X(b1 f2 g3 b2) e=X(c1 h0 h3 i0) f=X(i3 j0 d1 c2) g=X(j3 j2 h1 d2) h=X(e1 g2 i1 e2) i=X(e3 h2 j1 f0) j=X(f1 i2 g1 g0) ['name'='10_49'],reversible
